Name,Address,Description,Longitude,Latitude,TimeStamp,TimeSpan:begin,TimeSpan:end,GettyID
,Debrecziner,,,,,,,
,Debreczin,,,,,,,
,Esztergom,,"18,7","47,7667",,,,7010539
,Pressburg,,"17,1667","48,1667",,,,7006465
,Wien,,"16,3667","48,2167",,,,7003321
,Berlin,,"13,4167","52,5333",,,,7003712
,München,,"11,5833","48,1333",,,,7004333
,Paris,,"2,3333","48,8667",,,,7008038
,Prag,,"14,4333","50,1",,,,7006464
,Memmingen,,"10,1833","47,9833",,,,7012598
,Kassel,,"9,3333","51,1667",,,,7005941
,Jesberg,,,,,,,
,Schwerin,,"11,4167","53,6667",,,,7004716
,Ansbach,,"10,55","49,3",,,,7004459
,Speyer,,"8,4333","49,3167",,,,7012341
,Muenchen,,,,,,,
,Karlsruhe,,"8,5","48,5",,,,1003175
,Wiesbaden,,"8,2333","50,0833",,,,7004432
,Semlin,,,,,,,
,Kuveždin,,,,,,,
,Szenttamás,,,,,,,
,Werschetz,,,,,,,
,Hermannstadt,,"24,15","45,7667",,,,7004269
,Czahor,,,,,,,
,Czernowitz,,"25,9333","48,3",,,,7017981
,Ober-vicow,,,,,,,
,Gloggnitz,,"15,95","47,6833",,,,1025580
,Wartenstein,,,,,,,
,Kreisberg,,,,,,,
,Stuppach,,"9,75","49,45",,,,7005186
,Pottschach,,,,,,,
,Schottwien,,,,,,,
,Kranichberg,,,,,,,
,Enzenreith,,,,,,,
,Otterthal,,,,,,,
,Stuppachgraben,,,,,,,
,Schlögelmühl,,,,,,,
,Beierbach,,,,,,,
,Göttschach,,,,,,,
,Grünsting,,,,,,,
,Galatz,,"28,0333","45,45",,,,1050135
,Konstantinopel,,"28,95","41,0333",,,,7002473
,Karlowitz,,,,,,,
,Bad-ems,,,,,,,
,Komitat-neutra,,,,,,,
,Graz,,"15,3667","47,0833",,,,7003097
,Salzburg,,"13,05","47,8",,,,7003256
,Hallein,,"13,1","47,6833",,,,7003258
,Innsbruck,,"11,4","47,2667",,,,7003249
,Olmuetz,,,,,,,
,Triest,,"13,7833","45,65",,,,7005539
,Neustadt,,"8,7833","53,0667",,,,1005183
,Ofen,,,,,,,
,Agram,,"15,9667","45,8",,,,7015558
,Weybridge,,"-0,4667","51,3667",,,,7011738
,Tetschen,,"14,25","50,8",,,,7011435
,Verona,,"11,0333","45,4167",,,,7003007
,Mailand,,"9,2","45,4667",,,,7005903
,Pavia,,"9,1333","45,1167",,,,7003151
,Rom,,,,,,,
,Rovigo,,"11,7833","45,0667",,,,7003271
,Kronstadt,,"25,5833","45,65",,,,7004272
,Schaessburg,,,,,,,
,Mediasch,,,,,,,
,Polotsk,,"28,813","55,485",,,,7013482
,Muehlbach,,,,,,,
,Bistritz,,"24,5","47,1333",,,,7004078
,Klausenburg,,"23,6167","46,7833",,,,7003934
,Csik-somlyo,,,,,,,
,Blasendorf,,,,,,,
,Marosvásárhely,,"24,5667","46,55",,,,7004769
,Székelyudvarhely,,,,,,,
,Tchorda,,,,,,,
,Biala,,,,,,,
,Kremsier,,"17,45","49,3167",,,,7011637
,Raab,,"13,65","48,3667",,,,1025973
,Pest,,"19,0833","47,5",,,,7010546
,Trient,,"11,133","46,066",,,,7005128
,Alba-iulia,,,,,,,
,Lugos,,"21,9","45,6833",,,,1050174
,Szamosujvár,,,,,,,
,Zips,,,,,,,
,Lemberg,,,,,,,1105382
,Przemysl,,,,,,,
,Gran,,"10,5667","60,3667",,,,4004496
,Fuenfkirchen,,,,,,,
,Erlau,,"20,4667","47,8833",,,,7010471
,Augsburg,,"10,9","48,35",,,,7004324
,Reindorf,,,,,,,
,Fuenfhaus,,,,,,,
,Sechshaus,,,,,,,
,Huetteldorf,,,,,,,
,Baumgarten,,,,,,,
,Hetzendorf,,"16,3","48,1667",,,,1004649
,Neulerchenfeld,,,,,,,
,Ottakring,,"16,3167","48,2",,,,1005287
,Hernals,,"16,3333","48,2167",,,,1004647
,Klosterneuburg,,"16,3333","48,3167",,,,7003187
,Dornbach,,"16,3","48,2333",,,,1004374
,Untermeidling,,,,,,,
,Gaudenzdorf,,,,,,,
,Zwoelfaxing,,,,,,,
,Untermarkersdorf,,,,,,,
,Schramberg-in-württemberg,,,,,,,
,Frankfurt,,"13,75","52,5",,,,7003723
,Limburg,,"5,4167","51,3333",,,,6003428
,Bochnia,,"20,4167","49,9833",,,,1048934
,Zara,,"15,2333","44,1167",,,,7015549
,Görz,,"13,6333","45,95",,,,7005526
,Krakau,,"19,9167","50,05",,,,7007652
,Pag,,15,"44,5",,,,1008494
,Novaglia,,,,,,,
,Bad-ischl,,,,,,,
,Krk,,"14,5667","45,0333",,,,7015516
,Frankfurt-a-m-,,,,,,,
,Mainz,,"11,9667","47,8333",,,,7017990
,Seligenstadt,,"8,9667","50,0333",,,,4010301
,Gießen,,"8,7","50,5833",,,,7004429
,O-o-,,,,,,,
,Breslau,,17,"51,1",,,,7007601
,Brünn,,"16,6667","49,2167",,,,7011840
,Januševec,,,,,,,
,Temeswar,,,,,,,
,Csanad,,,,,,,
,Kaschau,,"21,25","48,7333",,,,7011529
,Neupanat,,,,,,,
,Universitaet-wien,,,,,,,
,O-o-neuhaus,,,,,,,
,Neuhaus,,"8,5667","47,8",,,,1040453
,Rab,,"14,7667","44,75",,,,1065214
,Ala,,,,,,,
,Trento,,"11,1167","46,1333",,,,7003158
,Trient-,,,,,,,
,Rovereto,,"11,05","45,8833",,,,7005447
,Biertan,,"24,5167","46,1333",,,,4001508
,Nagy-enyed,,,,,,,
,Ratibor,,"18,1667","50,0833",,,,1049401
,Leobschuetz,,,,,,,
,Erfurt,,"11,05","50,9667",,,,7024031
,Hadamar,,"8,0667","50,45",,,,7012485
,Trauchburg,,,,,,,
,Koeln,,,,,,,
,Ostrowo,,,,,,,
,Glogau,,"21,9667","50,15",,,,1049039
,Neisse,,"14,75",52,,,,7007914
